Player_ID,Reaction_Time,Accuracy,Headshot_Ratio,Fire_Rate,Movement_Speed,Aim_Smoothness,KDR,Label,activity_intensity,gameplay_pattern
C179,0.03276,0.8379,0.83254,0.957,0.75439,0.90274,0.76937,1,0.95794,0.83743
N866,0.53768,0.60067,0.30692,0.09132,0.2321,0.45473,0.11401,0,0.06823,0.4059
N102,0.63273,0.29222,0.07507,0.14846,0.4082,0.25088,0.16518,0,0.13614,0.12277
N440,0.47918,0.15918,0.1927,0.11085,0.44357,0.41985,0.15924,0,0.10523,0.11187
N059,0.63899,0.52878,0.16513,0.09271,0.50774,0.47426,0.06861,0,0.09409,0.2917
C121,0.11827,0.98016,0.82814,0.57181,0.83551,0.93563,0.82262,1,0.59288,0.91418
N324,0.77432,0.32188,0.10274,0.17149,0.36173,0.54016,0.14643,0,0.15838,0.1521
N975,0.53635,0.44827,0.11042,0.11911,0.37497,0.41692,0.22648,0,0.10715,0.22789
N412,0.68133,0.54139,0.18513,0.11283,0.62067,0.32766,0.19774,0,0.12144,0.31516
N856,0.5122,0.39706,0.3076,0.19426,0.37333,0.44617,0.20189,0,0.18012,0.30119
N821,0.8075,0.33727,0.05447,0.16914,0.78677,0.20888,0.1374,0,0.18886,0.13495
N045,0.71671,0.55505,0.09375,0.18219,0.516,0.64791,0.09984,0,0.18381,0.27041
N050,0.79875,0.19783,0.23595,0.09602,0.38188,0.48801,0.1967,0,0.08641,0.15685
N850,0.58841,0.40742,0.39612,0.11255,0.47984,0.49094,0.20221,0,0.11107,0.35257
N241,0.59548,0.38738,0.29109,0.13946,0.4871,0.46764,0.0994,0,0.13741,0.28242
N171,0.70972,0.56484,0.15466,0.22171,0.41577,0.22024,0.18739,0,0.20725,0.31148
N524,0.54373,0.56825,0.10256,0.09511,0.45425,0.41607,0.20535,0,0.09089,0.28724
N766,0.51732,0.50469,0.15634,0.21918,0.6184,0.59059,0.09833,0,0.2278,0.27567
N839,0.59472,0.39824,0.20189,0.17232,0.43163,0.52668,0.17585,0,0.16515,0.24586
N424,0.68256,0.4865,0.255,0.14113,0.86654,0.71108,0.21492,0,0.1758,0.32266
N381,0.75583,0.33466,0.15273,0.23109,0.53422,0.53313,0.13398,0,0.23112,0.18422
N610,0.6961,0.39438,0.24417,0.19938,0.45534,0.61987,0.14691,0,0.19471,0.26424
N677,0.69513,0.36396,0.16125,0.06479,0.38178,0.40918,0.11368,0,0.05509,0.20337
N345,0.50913,0.28227,0.22995,0.13569,0.60802,0.2067,0.21429,0,0.14074,0.19996
N110,0.56927,0.33824,0.30534,0.07462,0.44456,0.35736,0.17759,0,0.0694,0.26723
N278,0.74135,0.35201,0.19264,0.15254,0.36166,0.49594,0.14598,0,0.13943,0.21477
N678,0.57555,0.41633,0.29955,0.03519,0.48566,0.43131,0.19754,0,0.0359,0.30716
N571,0.71559,0.14036,0.16971,0.15692,0.40023,0.43962,0.14377,0,0.14627,0.08911
N359,0.59365,0.43405,0.17518,0.07329,0.50266,0.52146,0.20599,0,0.07551,0.25275
N599,0.59003,0.48963,0.09995,0.16888,0.11202,0.3503,0.23711,0,0.13124,0.24521
N391,0.69519,0.37835,0.187,0.17101,0.37849,0.55003,0.0788,0,0.15954,0.2227
N894,0.53878,0.47349,0.23437,0.09457,0.51855,0.41547,0.23941,0,0.09602,0.3062
N693,0.69258,0.58883,0.22832,0.11671,0.47556,0.19572,0.12447,0,0.11058,0.35939
N728,0.65899,0.39892,0.00462,0.05074,0.36446,0.44509,0.07571,0,0.04047,0.13925
N363,0.85488,0.60989,0.12052,0.2029,0.45864,0.54445,0.21778,0,0.19736,0.31951
N597,0.57138,0.39817,0.10854,0.15091,0.52803,0.36051,0.19224,0,0.15059,0.19833
N428,0.63362,0.38255,0.17129,0.23988,0.36272,0.6682,0.06989,0,0.22643,0.2164
N071,0.56379,0.45472,0.18075,0.09567,0.52666,0.46345,0.16371,0,0.09846,0.26467
N322,0.66489,0.29466,0.20009,0.17727,0.6138,0.63645,0.20928,0,0.1875,0.19093
N653,0.62274,0.30029,0.13266,0.0861,0.64097,0.50892,0.13253,0,0.0999,0.1553
C066,0.11209,0.90395,0.93291,0.77985,0.54802,0.9298,0.84578,1,0.76878,0.92859
N108,0.82197,0.50434,0.19043,0.16188,0.69569,0.53996,0.21686,0,0.17846,0.29893
C109,0.05512,0.94887,0.85184,0.80725,0.72285,0.94737,0.72634,1,0.81091,0.90491
N356,0.59139,0.3574,0.24617,0.12025,0.37809,0.29057,0.26086,0,0.10676,0.251
N951,0.56957,0.40511,0.17575,0.21699,0.55978,0.35718,0.15082,0,0.21726,0.2348
N343,0.68021,0.5861,0.0558,0.1352,0.57686,0.54118,0.11702,0,0.14222,0.2683
N355,0.77639,0.44608,0.33636,0.12679,0.25432,0.57959,0.17492,0,0.10625,0.34108
N024,0.50486,0.39264,0.19728,0.10528,0.38969,0.44424,0.21783,0,0.09545,0.24252
N044,0.65592,0.56186,0.23762,0.05087,0.6533,0.26299,0.14836,0,0.06346,0.35089
N244,0.39935,0.37084,0.34902,0.14862,0.55195,0.48686,0.12978,0,0.15225,0.305
N738,0.7056,0.38044,0.22843,0.13168,0.55865,0.47262,0.18965,0,0.13624,0.2507
C136,0.05677,0.96492,0.86229,0.74422,0.89097,0.93974,0.72871,1,0.76461,0.91906
N368,0.63305,0.24338,0.16759,0.21331,0.35606,0.36908,0.21751,0,0.19595,0.14697
N164,0.50558,0.0024,0.26658,0.14581,0.32085,0.42272,0.14234,0,0.1283,0.06504
C116,0.15227,0.96033,0.86526,0.82014,0.6604,0.88465,0.91907,1,0.81701,0.92747
N333,0.65722,0.41279,0.18339,0.22824,0.42597,0.69187,0.08305,0,0.22106,0.23955
N989,0.78316,0.60966,0.11668,0.14925,0.74759,0.29774,0.15622,0,0.16741,0.31438
C173,0.04692,0.9309,0.82893,0.82867,0.61903,0.92053,0.88629,1,0.82213,0.89125
C002,0.09772,0.85922,0.83731,0.70518,0.83822,0.96178,0.70047,1,0.72251,0.84796
N378,0.475,0.36418,0.19402,0.18742,0.5582,0.20568,0.19571,0,0.18639,0.22447
N310,0.57451,0.4129,0.17512,0.06831,0.2541,0.51068,0.08664,0,0.04869,0.2355
N156,0.67189,0.35518,0.23882,0.17538,0.45091,0.51541,0.1636,0,0.16965,0.24123
N211,0.68489,0.51539,0.12972,0.08329,0.4167,0.55005,0.2275,0,0.07803,0.27399
N087,0.76819,0.49213,0.23212,0.13176,0.646,0.63854,0.1906,0,0.14633,0.31266
N169,0.73934,0.37141,0.18652,0.14555,0.63924,0.2663,0.21279,0,0.15386,0.22531
N995,0.71638,0.51232,0.21591,0.02716,0.59323,0.35411,0.11452,0,0.03651,0.31138
N052,0.79364,0.71521,0.15489,0.13158,0.36662,0.44289,0.28402,0,0.11884,0.39712
N439,0.59017,0.50778,0.38901,0.13888,0.37653,0.43075,0.13237,0,0.12661,0.39937
N550,0.5168,0.58097,0.11923,0.13963,0.57679,0.57807,0.12225,0,0.14701,0.29862
N491,0.7846,0.38681,0.241,0.17549,0.36056,0.37091,0.03089,0,0.15978,0.25284
N426,0.36523,0.2335,0.14563,0.23068,0.56634,0.40355,0.13385,0,0.23174,0.1262
N136,0.60152,0.30695,0.18177,0.1342,0.57632,0.71434,0.21907,0,0.14362,0.18853
C192,0.07895,0.94245,0.84322,0.73974,0.64884,0.91901,0.76294,1,0.7387,0.8988
N055,0.62497,0.60087,0.25314,0.08898,0.6532,0.58459,0.11515,0,0.10482,0.37824
N079,0.69624,0.49861,0.24054,0.10388,0.71344,0.82663,0.19823,0,0.12792,0.32086
N431,0.4652,0.34555,0.35,0.09048,0.39164,0.75233,0.19122,0,0.08561,0.29493
N185,0.72486,0.44976,0.19798,0.1849,0.471,0.6394,0.16555,0,0.18236,0.271
N057,0.69947,0.15315,0.30383,0.20216,0.48588,0.5307,0.17778,0,0.19884,0.16703
N943,0.46725,0.44476,0.13291,0.09758,0.69303,0.63949,0.15819,0,0.11741,0.23429
N851,0.49745,0.2111,0.21006,0.15058,0.60113,0.25351,0.15238,0,0.1552,0.1484
C164,0.04311,0.9739,0.83332,0.77322,0.71146,0.93152,0.60228,1,0.77677,0.90269
N219,0.51108,0.57472,0.14666,0.05904,0.47965,0.34992,0.26466,0,0.0573,0.31644
N845,0.83764,0.46253,0.12216,0.13868,0.30505,0.32923,0.10519,0,0.11871,0.23568
N114,0.66216,0.3535,0.09712,0.18156,0.55894,0.63396,0.2009,0,0.18679,0.16885
N549,0.43622,0.38946,0.09123,0.07442,0.59604,0.3465,0.09727,0,0.08238,0.18003
C019,0.04862,0.98044,0.82904,0.73964,0.74246,0.9093,0.88071,1,0.74669,0.91764
C073,0.07124,0.95916,0.86109,0.82905,0.8616,0.92002,0.82383,1,0.84382,0.92001
N175,0.79192,0.50225,0.36119,0.09848,0.35171,0.2638,0.14118,0,0.083,0.38244
C023,0.05256,0.88965,0.85634,0.73013,0.84306,0.91863,0.85925,1,0.74648,0.88195
N616,0.61525,0.55795,0.19478,0.15347,0.57899,0.46289,0.19537,0,0.15898,0.32893
N514,0.74541,0.46218,0.03439,0.12933,0.44666,0.77448,0.19211,0,0.12835,0.19434
N462,0.74171,0.54362,0.04874,0.11583,0.64313,0.54806,0.16447,0,0.12939,0.24416
N287,0.52557,0.45038,0.28071,0.10878,0.44415,0.40136,0.15956,0,0.10303,0.31384
N382,0.69871,0.41905,0.2494,0.13138,0.54624,0.50882,0.13292,0,0.13537,0.27951
C008,0.06353,0.92719,0.93227,0.75219,0.82508,0.96178,0.5784,1,0.76683,0.92762
N671,0.83906,0.42244,0.16618,0.11993,0.48756,0.65346,0.2099,0,0.12115,0.24205
N535,0.66634,0.58076,0.2305,0.14111,0.32829,0.27743,0.06844,0,0.12238,0.35343
N910,0.63305,0.3972,0.21682,0.12677,0.31778,0.88934,0.13586,0,0.11615,0.25106
N293,0.59617,0.42035,0.24083,0.05256,0.41751,0.55332,0.17446,0,0.04842,0.27781
N124,0.67468,0.31242,0.23846,0.08761,0.62195,0.49635,0.16509,0,0.09951,0.21815
N583,0.78253,0.63121,0.12956,0.16608,0.44127,0.44185,0.11115,0,0.15877,0.33041
N141,0.74165,0.38711,0.08786,0.08225,0.59899,0.38143,0.22136,0,0.09069,0.18312
N736,0.70795,0.60031,0.04598,0.12533,0.46521,0.45664,0.21499,0,0.12166,0.27566
N082,0.62531,0.65076,0.08827,0.15533,0.55046,0.62568,0.04049,0,0.16055,0.31608
N882,0.55528,0.39061,0.15692,0.16679,0.23138,0.35986,0.11988,0,0.13985,0.21575
N740,0.62655,0.21324,0.21509,0.17141,0.58296,0.39641,0.01545,0,0.17576,0.14544
C102,0.0897,0.92708,0.89031,0.78031,0.69172,0.93153,0.66211,1,0.78189,0.90996
N909,0.5571,0.46754,0.2316,0.10113,0.47961,0.52206,0.17637,0,0.10043,0.29848
C167,0.06428,0.99085,0.81631,0.79406,0.72372,0.96178,0.77059,1,0.79843,0.91125
N937,0.64003,0.40711,0.28017,0.14573,0.44034,0.35383,0.21018,0,0.13777,0.29281
N372,0.59789,0.45736,0.33001,0.09945,0.56181,0.56136,0.16958,0,0.10659,0.34359
N890,0.64749,0.47603,0.22632,0.13531,0.44166,0.41284,0.27651,0,0.12863,0.30522
N157,0.65474,0.53139,0.08514,0.15849,0.56474,0.5031,0.12234,0,0.16315,0.25436
N992,0.82387,0.48925,0.12663,0.14958,0.58765,0.52033,0.12391,0,0.15678,0.25326
N622,0.61734,0.10876,0.15842,0.20546,0.43458,0.71921,0.22362,0,0.20016,0.07021
C038,0.01119,0.94719,0.8789,0.7671,0.75927,0.95389,0.69888,1,0.77537,0.91666
N245,0.68796,0.32969,0.33158,0.04754,0.19184,0.50912,0.20606,0,0.0231,0.27761
N159,0.71625,0.32562,0.28412,0.07461,0.49575,0.49706,0.19672,0,0.07585,0.25042
N746,0.52735,0.42027,0.253,0.08105,0.36749,0.61638,0.12454,0,0.07246,0.28162
N193,0.64724,0.42479,0.16755,0.07718,0.65195,0.71445,0.17587,0,0.09512,0.24235
N534,0.68681,0.45068,0.09969,0.18791,0.44204,0.62545,0.10392,0,0.18253,0.21763
N904,0.58131,0.43607,0.22723,0.17135,0.50286,0.30696,0.17481,0,0.1674,0.27924
C004,0.0338,0.93597,0.88841,0.74958,0.81534,0.88511,0.67102,1,0.76238,0.91419
C070,0.02074,0.948,0.80891,0.5996,0.64751,0.96178,0.86125,1,0.6036,0.88885
N414,0.55459,0.45249,0.27262,0.19196,0.65705,0.41689,0.11573,0,0.20244,0.30864
C187,0.08595,0.9518,0.84722,0.86315,0.65591,0.95046,0.6174,1,0.85915,0.89875
N328,0.59915,0.39408,0.23662,0.1385,0.37722,0.43503,0.04984,0,0.12636,0.25541
N129,0.55112,0.50314,0.14881,0.05458,0.7108,0.57545,0.23786,0,0.07648,0.27779
N695,0.64016,0.41192,0.24189,0.11613,0.318,0.54592,0.17255,0,0.10106,0.27374
N631,0.43612,0.29804,0.23733,0.10437,0.48822,0.69893,0.16941,0,0.1068,0.21005
N275,0.66924,0.1688,0.1977,0.16528,0.69152,0.15442,0.11951,0,0.17599,0.11768
C148,0.05584,0.97275,0.83907,0.77092,0.81241,0.9125,0.76639,1,0.78315,0.91309
N309,0.63419,0.40542,0.15252,0.1738,0.40958,0.54963,0.22736,0,0.16496,0.2267
N234,0.53956,0.3385,0.22616,0.10428,0.55188,0.58131,0.10331,0,0.11066,0.22276
C048,0.09315,0.92174,0.89905,0.61846,0.73962,0.91555,0.74774,1,0.62929,0.91581
N623,0.68638,0.3698,0.19419,0.15409,0.56243,0.43986,0.11917,0,0.1578,0.22382
N644,0.52484,0.32035,0.18086,0.17479,0.54492,0.54003,0.16385,0,0.17769,0.19254
N479,0.50589,0.58089,0.05069,0.07389,0.77066,0.60401,0.1199,0,0.10083,0.263
N472,0.68074,0.40869,0.21404,0.1907,0.59234,0.49771,0.18363,0,0.19666,0.25814
N926,0.60382,0.28295,0.28565,0.08872,0.55686,0.44661,0.14586,0,0.09416,0.22579
C098,0.05558,0.94845,0.85482,0.87481,0.89266,0.9232,0.77173,1,0.89087,0.90845
N627,0.76683,0.47534,0.26179,0.11413,0.28152,0.70537,0.17086,0,0.09815,0.31802
N395,0.73271,0.32472,0.07552,0.17321,0.51141,0.37255,0.1747,0,0.17087,0.14093
N637,0.48952,0.64193,0.16023,0.1359,0.58565,0.51929,0.16903,0,0.14336,0.35487
N768,0.63903,0.48012,0.17774,0.11904,0.31256,0.75636,0.14748,0,0.10634,0.27596
N533,0.71687,0.32479,0.27661,0.24299,0.3931,0.53054,0.2249,0,0.23019,0.24746
N718,0.66916,0.39518,0.25337,0.08901,0.28366,0.40422,0.19971,0,0.06982,0.27202
N667,0.52963,0.4931,0.16542,0.22872,0.62408,0.51809,0.25911,0,0.23652,0.28203
N598,0.59996,0.43841,0.338,0.15685,0.36368,0.45486,0.135,0,0.1432,0.33585
N482,0.69593,0.43308,0.06771,0.14009,0.48683,0.56826,0.15756,0,0.1394,0.19425
C103,0.03411,0.9369,0.77133,0.78785,0.71278,0.93793,0.56241,1,0.79113,0.84879
N315,0.63957,0.38569,0.10525,0.0422,0.34947,0.80682,0.13354,0,0.03596,0.18704
N729,0.59535,0.63959,0.21291,0.16926,0.55887,0.41064,0.18449,0,0.17175,0.38163
N210,0.70456,0.31862,0.15093,0.15124,0.42908,0.37659,0.11216,0,0.14243,0.1736
N934,0.67164,0.66044,0.10527,0.1114,0.87965,0.43413,0.16734,0,0.14431,0.3363
N434,0.58894,0.322,0.18022,0.11096,0.60759,0.79038,0.1296,0,0.12495,0.19142
N329,0.6364,0.35726,0.20154,0.06002,0.94228,0.43501,0.24275,0,0.10013,0.22695
N261,0.72336,0.10067,0.28657,0.16433,0.58682,0.52812,0.18886,0,0.17108,0.13046
C117,0.01349,0.86704,0.85258,0.75163,0.78112,0.93321,0.62852,1,0.76203,0.85654
N307,0.57744,0.13449,0.34216,0.10632,0.45265,0.3608,0.15844,0,0.10082,0.17589
C067,0.06559,0.91891,0.88187,0.96225,0.68272,0.94514,0.795,1,0.95731,0.90772
N928,0.58459,0.44178,0.2433,0.15271,0.53182,0.60428,0.19676,0,0.15608,0.29169
C025,0.04374,0.92906,0.82405,0.83623,0.84625,0.9263,0.91043,1,0.84951,0.88892
N271,0.54119,0.27988,0.29226,0.10925,0.37061,0.5794,0.16811,0,0.0995,0.22865
N291,0.41178,0.24896,0.20633,0.10714,0.6188,0.59974,0.169,0,0.11958,0.16763
N813,0.64372,0.46698,0.36359,0.18011,0.47223,0.67474,0.17491,0,0.17832,0.36639
N097,0.75352,0.20125,0.13154,0.09482,0.47795,0.79796,0.16712,0,0.09804,0.10322
N888,0.60756,0.51737,0.20388,0.15086,0.72312,0.55249,0.06492,0,0.17039,0.30544
N819,0.57109,0.51716,0.10848,0.10142,0.51277,0.68191,0.23549,0,0.10586,0.26433
N032,0.60516,0.45255,0.30197,0.18532,0.47284,0.58527,0.18229,0,0.18217,0.32713
N763,0.59057,0.38248,0.16647,0.18048,0.4047,0.38583,0.12593,0,0.1687,0.21662
N954,0.60046,0.45325,0.30054,0.08002,0.67419,0.23734,0.17944,0,0.09314,0.32662
N320,0.50892,0.48566,0.23305,0.09388,0.35237,0.50243,0.13186,0,0.08195,0.30678
N299,0.45515,0.63999,0.11022,0.16872,0.50692,0.61545,0.04898,0,0.16953,0.32206
N200,0.80105,0.49827,0.0246,0.09304,0.49819,0.51839,0.13407,0,0.09419,0.20582
N561,0.72064,0.49947,0.12984,0.15253,0.58518,0.58847,0.22451,0,0.16038,0.26534
N179,0.56833,0.34288,0.10833,0.12857,0.4453,0.40835,0.2197,0,0.12237,0.16987
C132,0.0666,0.93535,0.89073,0.80621,0.58739,0.92451,0.60627,1,0.79768,0.91188
N089,0.75217,0.47006,0.30366,0.14302,0.48349,0.57272,0.07439,0,0.14201,0.33211
N788,0.38435,0.44946,0.12643,0.05594,0.68882,0.37927,0.16761,0,0.07311,0.23393
N725,0.66128,0.37263,0.22012,0.03424,0.61816,0.40057,0.18043,0,0.04621,0.24176
N827,0.60102,0.55956,0.29996,0.14775,0.41571,0.1475,0.14556,0,0.13467,0.38177
N209,0.86848,0.51718,0.19512,0.07125,0.44769,0.34755,0.25455,0,0.06628,0.31011
C040,0.08229,0.85709,0.79245,0.82678,1.0,0.95946,0.81213,1,0.85435,0.82909
N297,0.57989,0.51672,0.04772,0.06701,0.23378,0.50227,0.08629,0,0.04553,0.22534
N998,0.47028,0.33654,0.29699,0.13576,0.47929,0.51315,0.12875,0,0.13379,0.2596
N498,0.61427,0.47398,0.1961,0.12105,0.54999,0.56462,0.12598,0,0.12649,0.2811
N835,0.70321,0.47987,0.13005,0.05285,0.52433,0.44722,0.03371,0,0.05661,0.24557
N430,0.58069,0.15554,0.24622,0.09899,0.59738,0.83474,0.15447,0,0.11309,0.13737
N507,0.77201,0.4603,0.2701,0.07233,0.27994,0.3363,0.20186,0,0.05241,0.31576
N831,0.80404,0.63289,0.14987,0.15879,0.59101,0.43433,0.21367,0,0.16479,0.34685
N694,0.69737,0.43179,0.26614,0.13862,0.51809,0.39983,0.05774,0,0.13838,0.29133
N011,0.69315,0.50957,0.15521,0.09986,0.49763,0.33507,0.1885,0,0.09817,0.28213
N848,0.93904,0.66875,0.15028,0.20454,0.43528,0.47479,0.18832,0,0.19591,0.36508
N463,0.63863,0.41413,0.29978,0.15703,0.48763,0.65893,0.11462,0,0.15713,0.30203
N199,0.71542,0.63574,0.3356,0.15165,0.40235,0.55086,0.17352,0,0.14291,0.4425
N060,0.58649,0.32056,0.15723,0.16206,0.28379,0.55777,0.20567,0,0.14266,0.18248
N907,0.70342,0.34335,0.22134,0.18503,0.63905,0.11732,0.18325,0,0.18996,0.22679
N997,0.74782,0.62286,0.13041,0.08909,0.52355,0.50301,0.23241,0,0.09238,0.33231
N276,0.52618,0.46139,0.20402,0.16667,0.54473,0.62465,0.15928,0,0.17101,0.28007
N809,0.87472,0.34875,0.32827,0.1637,0.29482,0.50207,0.16557,0,0.14443,0.28416
N908,0.55703,0.49488,0.21815,0.07686,0.21332,0.21745,0.29304,0,0.04927,0.31194
N658,0.87049,0.23273,0.10785,0.09822,0.66245,0.49402,0.11116,0,0.1133,0.10512
